"Title","ave_ratings","ratings_per_movie","MovieID","genre"
"Bug's Life, A (1998)",3.85437463300059,1703,2355,"Animation"
"Lady and the Tramp (1955)",3.80439814814815,864,2080,"Animation"
"Aladdin (1992)",3.78830495928942,1351,588,"Animation"
"Wizard of Oz, The (1939)",4.24796274738067,1718,919,"Children's"
"Toy Story 2 (1999)",4.21892744479495,1585,3114,"Children's"
"Toy Story (1995)",4.14684641309581,2077,1,"Children's"
"E.T. the Extra-Terrestrial (1982)",3.96518289995593,2269,1097,"Children's"
"Fantasia (1940)",3.90455991516437,943,1282,"Children's"
"Mary Poppins (1964)",3.89416419386746,1011,1028,"Children's"
"Babe (1995)",3.89149057681325,1751,34,"Children's"
"Beauty and the Beast (1991)",3.88584905660377,1060,595,"Children's"
"Chicken Run (2000)",3.87960872836719,1329,3751,"Children's"
"Willy Wonka and the Chocolate Factory (1971)",3.86138613861386,1313,1073,"Children's"
"Wrong Trousers, The (1993)",4.50793650793651,882,1148,"Comedy"
"Monty Python and the Holy Grail (1974)",4.33520950594121,1599,1136,"Comedy"
"Life Is Beautiful (La Vita è bella) (1997)",4.32986111111111,1152,2324,"Comedy"
"Sting, The (1973)",4.32030505243089,1049,1234,"Comedy"
"American Beauty (1999)",4.31738623103851,3428,2858,"Comedy"
"Princess Bride, The (1987)",4.3037100949094,2318,1197,"Comedy"
"Some Like It Hot (1959)",4.30048076923077,832,910,"Comedy"
"Cool Hand Luke (1967)",4.25376344086022,930,1276,"Comedy"
"Young Frankenstein (1974)",4.25062866722548,1193,1278,"Comedy"
"Christmas Story, A (1983)",4.23890532544379,1352,2804,"Comedy"
"Godfather, The (1972)",4.52496626180837,2223,858,"Crime"
"Usual Suspects, The (1995)",4.5171060011217,1783,50,"Crime"
"Godfather: Part II, The (1974)",4.35756501182033,1692,1221,"Crime"
"Sting, The (1973)",4.32030505243089,1049,1234,"Crime"
"Some Like It Hot (1959)",4.30048076923077,832,910,"Crime"
"Pulp Fiction (1994)",4.27821280515891,2171,296,"Crime"
"GoodFellas (1990)",4.27519613759807,1657,1213,"Crime"
"Fargo (1996)",4.25467568643056,2513,608,"Crime"
"Run Lola Run (Lola rennt) (1998)",4.22481343283582,1072,2692,"Crime"
"L.A. Confidential (1997)",4.21940559440559,2288,1617,"Crime"
"Gate of Heavenly Peace, The (1995)",5,3,787,"Documentary"
"Bittersweet Motel (2000)",5,1,3881,"Documentary"
"For All Mankind (1989)",4.44444444444444,27,3338,"Documentary"
"Return with Honor (1998)",4.4,5,2930,"Documentary"
"Jupiter's Wife (1994)",4.33333333333333,12,128,"Documentary"
"When We Were Kings (1996)",4.32129963898917,277,1147,"Documentary"
"Decline of Western Civilization, The (1981)",4.2741935483871,62,3679,"Documentary"
"Wonderful, Horrible Life of Leni Riefenstahl, The (Die Macht der Bilder) (1993)",4.25806451612903,62,363,"Documentary"
"Thin Blue Line, The (1988)",4.25278810408922,269,1189,"Documentary"
"Stop Making Sense (1984)",4.23430962343096,239,2859,"Documentary"
"Shawshank Redemption, The (1994)",4.55455770094297,2227,318,"Drama"
"Godfather, The (1972)",4.52496626180837,2223,858,"Drama"
"Schindler's List (1993)",4.51041666666667,2304,527,"Drama"
"To Kill a Mockingbird (1962)",4.42564655172414,928,1207,"Drama"
"Casablanca (1942)",4.41282204913122,1669,912,"Drama"
"One Flew Over the Cuckoo's Nest (1975)",4.39072463768116,1725,1193,"Drama"
"Citizen Kane (1941)",4.38888888888889,1116,923,"Drama"
"Bridge on the River Kwai, The (1957)",4.38699360341151,938,1250,"Drama"
"North by Northwest (1959)",4.38403041825095,1315,908,"Drama"
"Godfather: Part II, The (1974)",4.35756501182033,1692,1221,"Drama"
"Star Wars: Episode IV - A New Hope (1977)",4.45369441658308,2991,260,"Fantasy"
"E.T. the Extra-Terrestrial (1982)",3.96518289995593,2269,1097,"Fantasy"
"Willy Wonka and the Chocolate Factory (1971)",3.86138613861386,1313,1073,"Fantasy"
"Big (1988)",3.85580147551979,1491,2797,"Fantasy"
"Time Bandits (1981)",3.69405940594059,1010,2968,"Fantasy"
"Beetlejuice (1988)",3.56789297658863,1495,2174,"Fantasy"
"Willow (1988)",3.49625935162095,802,2193,"Fantasy"
"Splash (1984)",3.43078245915735,1163,2100,"Fantasy"
"Star Wars: Episode I - The Phantom Menace (1999)",3.40977777777778,2250,2628,"Fantasy"
"Tron (1982)",3.35567010309278,970,2105,"Fantasy"
"Sunset Blvd. (a.k.a. Sunset Boulevard) (1950)",4.49148936170213,470,922,"Film-Noir"
"Double Indemnity (1944)",4.41560798548094,551,3435,"Film-Noir"
"Maltese Falcon, The (1941)",4.39597315436242,1043,913,"Film-Noir"
"Chinatown (1974)",4.33924050632911,1185,1252,"Film-Noir"
"Manchurian Candidate, The (1962)",4.33333333333333,765,1267,"Film-Noir"
"Big Sleep, The (1946)",4.31238447319778,541,1284,"Film-Noir"
"Strangers on a Train (1951)",4.30497925311203,482,2186,"Film-Noir"
"M (1931)",4.30194805194805,308,1260,"Film-Noir"
"Notorious (1946)",4.29438202247191,445,930,"Film-Noir"
"Blade Runner (1982)",4.27333333333333,1800,541,"Film-Noir"
"Young Frankenstein (1974)",4.25062866722548,1193,1278,"Horror"
"Psycho (1960)",4.21852731591449,1263,1219,"Horror"
"Alien (1979)",4.15958498023715,2024,1214,"Horror"
"Shining, The (1980)",4.1048758049678,1087,1258,"Horror"
"Jaws (1975)",4.08956982911019,1697,1387,"Horror"
"Exorcist, The (1973)",3.95593220338983,885,1997,"Horror"
"Ghostbusters (1984)",3.90554791380101,2181,2716,"Horror"
"Misery (1990)",3.82579185520362,884,3499,"Horror"
"Army of Darkness (1993)",3.8042328042328,945,1215,"Horror"
"Scream (1996)",3.57562076749436,886,1407,"Horror"
"Wizard of Oz, The (1939)",4.24796274738067,1718,919,"Musical"
"This Is Spinal Tap (1984)",4.17978533094812,1118,1288,"Musical"
"Blues Brothers, The (1980)",3.93959731543624,1341,1220,"Musical"
"Sound of Music, The (1965)",3.93197278911565,882,1035,"Musical"
"Fantasia (1940)",3.90455991516437,943,1282,"Musical"
"Mary Poppins (1964)",3.89416419386746,1011,1028,"Musical"
"Beauty and the Beast (1991)",3.88584905660377,1060,595,"Musical"
"Lion King, The (1994)",3.86083853702052,1121,364,"Musical"
"Lady and the Tramp (1955)",3.80439814814815,864,2080,"Musical"
"Aladdin (1992)",3.78830495928942,1351,588,"Musical"
"Rear Window (1954)",4.47619047619048,1050,904,"Mystery"
"Maltese Falcon, The (1941)",4.39597315436242,1043,913,"Mystery"
"Chinatown (1974)",4.33924050632911,1185,1252,"Mystery"
"Vertigo (1958)",4.27292817679558,905,903,"Mystery"
"L.A. Confidential (1997)",4.21940559440559,2288,1617,"Mystery"
"2001: A Space Odyssey (1968)",4.06876456876457,1716,924,"Mystery"
"Game, The (1997)",3.91383219954649,882,1625,"Mystery"
"Big Lebowski, The (1998)",3.7383773928897,1097,1732,"Mystery"
"Talented Mr. Ripley, The (1999)",3.50338091660406,1331,3176,"Mystery"
"X-Files: Fight the Future, The (1998)",3.4929718875502,996,1909,"Mystery"
"Casablanca (1942)",4.41282204913122,1669,912,"Romance"
"Princess Bride, The (1987)",4.3037100949094,2318,1197,"Romance"
"African Queen, The (1951)",4.25165562913907,1057,969,"Romance"
"Graduate, The (1967)",4.24583663758921,1261,1247,"Romance"
"Run Lola Run (Lola rennt) (1998)",4.22481343283582,1072,2692,"Romance"
"Annie Hall (1977)",4.14167916041979,1334,1230,"Romance"
"Shakespeare in Love (1998)",4.12747994934572,2369,2396,"Romance"
"Professional, The (a.k.a. Leon: The Professional) (1994)",4.10617551462622,923,293,"Romance"
"Forrest Gump (1994)",4.08796718322698,2194,356,"Romance"
"When Harry Met Sally... (1989)",4.07334183673469,1568,1307,"Romance"
"Star Wars: Episode IV - A New Hope (1977)",4.45369441658308,2991,260,"Sci-Fi"
"Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963)",4.44989027066569,1367,750,"Sci-Fi"
"Matrix, The (1999)",4.31583011583012,2590,2571,"Sci-Fi"
"Star Wars: Episode V - The Empire Strikes Back (1980)",4.29297658862876,2990,1196,"Sci-Fi"
"Blade Runner (1982)",4.27333333333333,1800,541,"Sci-Fi"
"Alien (1979)",4.15958498023715,2024,1214,"Sci-Fi"
"Terminator, The (1984)",4.15204957102002,2098,1240,"Sci-Fi"
"Aliens (1986)",4.12582417582418,1820,1200,"Sci-Fi"
"Brazil (1985)",4.09748083242059,913,1199,"Sci-Fi"
"Clockwork Orange, A (1971)",4.07811228641172,1229,1206,"Sci-Fi"
"Usual Suspects, The (1995)",4.5171060011217,1783,50,"Thriller"
"Rear Window (1954)",4.47619047619048,1050,904,"Thriller"
"Sixth Sense, The (1999)",4.40626270841806,2459,2762,"Thriller"
"North by Northwest (1959)",4.38403041825095,1315,908,"Thriller"
"Silence of the Lambs, The (1991)",4.35182311869666,2578,593,"Thriller"
"Chinatown (1974)",4.33924050632911,1185,1252,"Thriller"
"Matrix, The (1999)",4.31583011583012,2590,2571,"Thriller"
"Vertigo (1958)",4.27292817679558,905,903,"Thriller"
"Fargo (1996)",4.25467568643056,2513,608,"Thriller"
"L.A. Confidential (1997)",4.21940559440559,2288,1617,"Thriller"
"Schindler's List (1993)",4.51041666666667,2304,527,"War"
"Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963)",4.44989027066569,1367,750,"War"
"Casablanca (1942)",4.41282204913122,1669,912,"War"
"Lawrence of Arabia (1962)",4.40192539109507,831,1204,"War"
"Bridge on the River Kwai, The (1957)",4.38699360341151,938,1250,"War"
"Saving Private Ryan (1998)",4.33735393893705,2653,2028,"War"
"Boat, The (Das Boot) (1981)",4.3026973026973,1001,1233,"War"
"Star Wars: Episode V - The Empire Strikes Back (1980)",4.29297658862876,2990,1196,"War"
"African Queen, The (1951)",4.25165562913907,1057,969,"War"
"Apocalypse Now (1979)",4.24319727891156,1176,1208,"War"
"One Little Indian (1973)",5,1,3607,"Western"
"Yojimbo (1961)",4.4046511627907,215,3030,"Western"
"Butch Cassidy and the Sundance Kid (1969)",4.21564482029598,1419,1304,"Western"
"High Noon (1952)",4.17866004962779,403,1283,"Western"
"Good, The Bad and The Ugly, The (1966)",4.1338199513382,822,1201,"Western"
"Unforgiven (1992)",4.09027081243731,997,1266,"Western"
"Wild Bunch, The (1969)",4.08712121212121,264,599,"Western"
"Searchers, The (1956)",4.08571428571429,245,3365,"Western"
"Blazing Saddles (1974)",4.047363717605,1119,3671,"Western"
"Little Big Man (1970)",4.04399323181049,591,3037,"Western"
